method-a,method-b,verdict
org.joda.convert.StringConvert.convertToString(Ljava/lang/Class;Ljava/lang/Object;)Ljava/lang/String;,org.joda.convert.StringConvert.findTypedConverter(Ljava/lang/Class;)Lorg/joda/convert/TypedStringConverter;,spurious-spec
org.joda.convert.StringConvert.convertToString(Ljava/lang/Object;)Ljava/lang/String;,org.joda.convert.StringConvert.convertToString(Ljava/lang/Class;Ljava/lang/Object;)Ljava/lang/String;,spurious-spec
org.joda.convert.StringConvert.convertToString(Ljava/lang/Object;)Ljava/lang/String;,org.joda.convert.StringConvert.findConverter(Ljava/lang/Class;)Lorg/joda/convert/StringConverter;,spurious-spec
org.joda.convert.StringConvert.convertToString(Ljava/lang/Object;)Ljava/lang/String;,org.joda.convert.StringConvert.findTypedConverter(Ljava/lang/Class;)Lorg/joda/convert/TypedStringConverter;,spurious-spec
org.joda.convert.StringConvert.registerFactory(Lorg/joda/convert/StringConverterFactory;)V,org.joda.convert.StringConvert.findAnyConverter(Ljava/lang/Class;)Lorg/joda/convert/TypedStringConverter;,sometimes-true-spec
org.joda.convert.StringConvert.registerFactory(Lorg/joda/convert/StringConverterFactory;)V,org.joda.convert.StringConvert.findConverterQuiet(Ljava/lang/Class;)Lorg/joda/convert/TypedStringConverter;,sometimes-true-spec
org.joda.convert.StringConvert.registerFactory(Lorg/joda/convert/StringConverterFactory;)V,org.joda.convert.StringConvert.findTypedConverter(Ljava/lang/Class;)Lorg/joda/convert/TypedStringConverter;,sometimes-true-spec
org.joda.convert.StringConvert.tryRegisterGuava()V,org.joda.convert.StringConvert.convertToString(Ljava/lang/Object;)Ljava/lang/String;,sometimes-true-spec
org.joda.convert.StringConvert.tryRegisterGuava()V,org.joda.convert.StringConvert.findAnyConverter(Ljava/lang/Class;)Lorg/joda/convert/TypedStringConverter;,spurious-spec
org.joda.convert.StringConvert.tryRegisterGuava()V,org.joda.convert.StringConvert.isConvertible(Ljava/lang/Class;)Z,spurious-spec
org.joda.convert.StringConvert.tryRegisterGuava()V,org.joda.convert.StringConvert.tryRegisterJava8Optionals()V,spurious-spec
org.joda.convert.StringConvert.tryRegisterGuava()V,org.joda.convert.StringConvert.tryRegisterJava8()V,spurious-spec
org.joda.convert.StringConvert.tryRegisterGuava()V,org.joda.convert.StringConvert.tryRegisterThreeTenBackport()V,spurious-spec
org.joda.convert.StringConvert.tryRegisterGuava()V,org.joda.convert.StringConvert.tryRegisterThreeTenOld()V,spurious-spec
org.joda.convert.StringConvert.tryRegisterGuava()V,org.joda.convert.StringConvert.tryRegisterTimeZone()V,spurious-spec
org.joda.convert.StringConvert.tryRegisterJava8Optionals()V,org.joda.convert.StringConvert.convertToString(Ljava/lang/Object;)Ljava/lang/String;,sometimes-true-spec
org.joda.convert.StringConvert.tryRegisterJava8Optionals()V,org.joda.convert.StringConvert.findAnyConverter(Ljava/lang/Class;)Lorg/joda/convert/TypedStringConverter;,spurious-spec
org.joda.convert.StringConvert.tryRegisterJava8Optionals()V,org.joda.convert.StringConvert.isConvertible(Ljava/lang/Class;)Z,sometimes-true-spec
org.joda.convert.StringConvert.tryRegisterJava8Optionals()V,org.joda.convert.StringConvert.tryRegisterJava8()V,spurious-spec
org.joda.convert.StringConvert.tryRegisterJava8Optionals()V,org.joda.convert.StringConvert.tryRegisterThreeTenBackport()V,spurious-spec
org.joda.convert.StringConvert.tryRegisterJava8Optionals()V,org.joda.convert.StringConvert.tryRegisterThreeTenOld()V,spurious-spec
org.joda.convert.StringConvert.tryRegisterJava8Optionals()V,org.joda.convert.StringConvert.tryRegisterTimeZone()V,spurious-spec
org.joda.convert.StringConvert.tryRegisterJava8()V,org.joda.convert.StringConvert.convertToString(Ljava/lang/Object;)Ljava/lang/String;,sometimes-true-spec
org.joda.convert.StringConvert.tryRegisterJava8()V,org.joda.convert.StringConvert.findAnyConverter(Ljava/lang/Class;)Lorg/joda/convert/TypedStringConverter;,spurious-spec
org.joda.convert.StringConvert.tryRegisterJava8()V,org.joda.convert.StringConvert.isConvertible(Ljava/lang/Class;)Z,sometimes-true-spec
org.joda.convert.StringConvert.tryRegisterJava8()V,org.joda.convert.StringConvert.tryRegisterThreeTenBackport()V,spurious-spec
org.joda.convert.StringConvert.tryRegisterJava8()V,org.joda.convert.StringConvert.tryRegisterThreeTenOld()V,spurious-spec
org.joda.convert.StringConvert.tryRegisterThreeTenBackport()V,org.joda.convert.StringConvert.convertToString(Ljava/lang/Object;)Ljava/lang/String;,sometimes-true-spec
org.joda.convert.StringConvert.tryRegisterThreeTenBackport()V,org.joda.convert.StringConvert.findAnyConverter(Ljava/lang/Class;)Lorg/joda/convert/TypedStringConverter;,spurious-spec
org.joda.convert.StringConvert.tryRegisterThreeTenBackport()V,org.joda.convert.StringConvert.isConvertible(Ljava/lang/Class;)Z,sometimes-true-spec
org.joda.convert.StringConvert.tryRegisterThreeTenBackport()V,org.joda.convert.StringConvert.tryRegisterThreeTenOld()V,spurious-spec
org.joda.convert.StringConvert.tryRegisterThreeTenOld()V,org.joda.convert.StringConvert.convertToString(Ljava/lang/Object;)Ljava/lang/String;,sometimes-true-spec
org.joda.convert.StringConvert.tryRegisterThreeTenOld()V,org.joda.convert.StringConvert.findAnyConverter(Ljava/lang/Class;)Lorg/joda/convert/TypedStringConverter;,spurious-spec
org.joda.convert.StringConvert.tryRegisterThreeTenOld()V,org.joda.convert.StringConvert.isConvertible(Ljava/lang/Class;)Z,sometimes-true-spec
org.joda.convert.StringConvert.tryRegisterTimeZone()V,org.joda.convert.StringConvert.convertToString(Ljava/lang/Object;)Ljava/lang/String;,sometimes-true-spec
org.joda.convert.StringConvert.tryRegisterTimeZone()V,org.joda.convert.StringConvert.findAnyConverter(Ljava/lang/Class;)Lorg/joda/convert/TypedStringConverter;,spurious-spec
org.joda.convert.StringConvert.tryRegisterTimeZone()V,org.joda.convert.StringConvert.isConvertible(Ljava/lang/Class;)Z,sometimes-true-spec
org.joda.convert.StringConvert.tryRegisterTimeZone()V,org.joda.convert.StringConvert.tryRegisterJava8()V,spurious-spec
org.joda.convert.StringConvert.tryRegisterTimeZone()V,org.joda.convert.StringConvert.tryRegisterThreeTenBackport()V,spurious-spec
org.joda.convert.StringConvert.tryRegisterTimeZone()V,org.joda.convert.StringConvert.tryRegisterThreeTenOld()V,spurious-spec
org.joda.convert.AnnotationStringConverterFactory.findFromStringConstructor(Ljava/lang/Class;Ljava/lang/reflect/Method;)Lorg/joda/convert/MethodConstructorStringConverter;,org.joda.convert.AnnotationStringConverterFactory.findFromString(Ljava/lang/Class;)Ljava/lang/reflect/Method;,true-spec
org.joda.convert.AnnotationStringConverterFactory.findFromStringConstructor(Ljava/lang/Class;Ljava/lang/reflect/Method;)Lorg/joda/convert/MethodConstructorStringConverter;,org.joda.convert.AnnotationStringConverterFactory.findFromStringMethod(Ljava/lang/Class;Ljava/lang/reflect/Method;Z)Lorg/joda/convert/MethodsStringConverter;,true-spec
org.joda.convert.RenameHandler.loadFromClasspath()V,org.joda.convert.RenameHandler.lookupEnum(Ljava/lang/Class;Ljava/lang/String;)Ljava/lang/Enum;,sometimes-true-spec
org.joda.convert.RenameHandler.loadRenameFile(Ljava/net/URL;)Ljava/util/List;,org.joda.convert.RenameHandler.lookupEnum(Ljava/lang/Class;Ljava/lang/String;)Ljava/lang/Enum;,sometimes-true-spec
org.joda.convert.RenameHandler.parseRenameFile(Ljava/util/List;Ljava/net/URL;)V,org.joda.convert.RenameHandler.lookupEnum(Ljava/lang/Class;Ljava/lang/String;)Ljava/lang/Enum;,sometimes-true-spec
org.joda.convert.StringConvert.tryRegisterGuava()V,org.joda.convert.StringConvert.convertFromString(Ljava/lang/Class;Ljava/lang/String;)Ljava/lang/Object;,sometimes-true-spec
org.joda.convert.StringConvert.tryRegisterGuava()V,org.joda.convert.StringConvert.convertToString(Ljava/lang/Class;Ljava/lang/Object;)Ljava/lang/String;,sometimes-true-spec
org.joda.convert.StringConvert.tryRegisterGuava()V,org.joda.convert.StringConvert.findConverter(Ljava/lang/Class;)Lorg/joda/convert/StringConverter;,sometimes-true-spec
org.joda.convert.StringConvert.tryRegisterGuava()V,org.joda.convert.StringConvert.findConverterNoGenerics(Ljava/lang/Class;)Lorg/joda/convert/StringConverter;,sometimes-true-spec
