method-a,method-b,verdict
org.apache.commons.exec.DefaultExecutor.execute(Lorg/apache/commons/exec/CommandLine;Ljava/util/Map;Lorg/apache/commons/exec/ExecuteResultHandler;)V,org.apache.commons.exec.DefaultExecutor.isFailure(I)Z,no-break-pass (indirect)
org.apache.commons.exec.DefaultExecutor.execute(Lorg/apache/commons/exec/CommandLine;Ljava/util/Map;Lorg/apache/commons/exec/ExecuteResultHandler;)V,org.apache.commons.exec.DefaultExecutor.launch(Lorg/apache/commons/exec/CommandLine;Ljava/util/Map;Ljava/io/File;)Ljava/lang/Process;,no-break-pass (indirect)
org.apache.commons.exec.DefaultExecutor.getExecutorThread()Ljava/lang/Thread;,org.apache.commons.exec.DefaultExecutor.closeProcessStreams(Ljava/lang/Process;)V,no-break-pass (indirect)
org.apache.commons.exec.DefaultExecutor.getExecutorThread()Ljava/lang/Thread;,org.apache.commons.exec.DefaultExecutor.executeInternal(Lorg/apache/commons/exec/CommandLine;Ljava/util/Map;Ljava/io/File;Lorg/apache/commons/exec/ExecuteStreamHandler;)I,no-break-pass (indirect)
org.apache.commons.exec.DefaultExecutor.getExecutorThread()Ljava/lang/Thread;,org.apache.commons.exec.DefaultExecutor.getExceptionCaught()Ljava/io/IOException;,no-break-pass (indirect)
org.apache.commons.exec.DefaultExecutor.getExecutorThread()Ljava/lang/Thread;,org.apache.commons.exec.DefaultExecutor.isFailure(I)Z,no-break-pass (indirect)
org.apache.commons.exec.DefaultExecutor.getExecutorThread()Ljava/lang/Thread;,org.apache.commons.exec.DefaultExecutor.launch(Lorg/apache/commons/exec/CommandLine;Ljava/util/Map;Ljava/io/File;)Ljava/lang/Process;,no-break-pass (indirect)
org.apache.commons.exec.ExecuteResultHandler.onProcessComplete(I)V,org.apache.commons.exec.DefaultExecuteResultHandler.getException()Lorg/apache/commons/exec/ExecuteException;,sometimes-true-spec
org.apache.commons.exec.ExecuteResultHandler.onProcessComplete(I)V,org.apache.commons.exec.DefaultExecuteResultHandler.getExitValue()I,sometimes-true-spec
org.apache.commons.exec.ExecuteResultHandler.onProcessFailed(Lorg/apache/commons/exec/ExecuteException;)V,org.apache.commons.exec.DefaultExecuteResultHandler.getException()Lorg/apache/commons/exec/ExecuteException;,sometimes-true-spec
org.apache.commons.exec.ExecuteResultHandler.onProcessFailed(Lorg/apache/commons/exec/ExecuteException;)V,org.apache.commons.exec.DefaultExecuteResultHandler.getExitValue()I,sometimes-true-spec
org.apache.commons.exec.ExecuteWatchdog.checkException()V,org.apache.commons.exec.ExecuteWatchdog.ensureStarted()V,spurious-spec
org.apache.commons.exec.ExecuteWatchdog.checkException()V,org.apache.commons.exec.ExecuteWatchdog.isWatching()Z,spurious-spec
org.apache.commons.exec.ExecuteWatchdog.checkException()V,org.apache.commons.exec.ExecuteWatchdog.killedProcess()Z,spurious-spec
