spec-id,method-a,method-b,tst,dsi-verdict,manual-verdict,tags
00333,org.apache.commons.codec.net.PercentCodec.encode(Ljava/lang/Object;)Ljava/lang/Object;,org.apache.commons.codec.net.PercentCodec.decode(Ljava/lang/Object;)Ljava/lang/Object;,org.apache.commons.codec.net.PercentCodecTest#testSafeCharEncodeDecodeObject,u,spurious-spec,NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION
00334,org.apache.commons.codec.net.PercentCodec.encode(Ljava/lang/Object;)Ljava/lang/Object;,org.apache.commons.codec.net.PercentCodec.decode([B)[B,org.apache.commons.codec.net.PercentCodecTest#testSafeCharEncodeDecodeObject,u,spurious-spec,NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION
00336,org.apache.commons.codec.net.PercentCodec.encode(Ljava/lang/Object;)Ljava/lang/Object;,org.apache.commons.codec.net.PercentCodec.expectedDecodingBytes([B)I,org.apache.commons.codec.net.PercentCodecTest#testSafeCharEncodeDecodeObject,u,spurious-spec,NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION
00339,org.apache.commons.codec.net.PercentCodec.encode([B)[B,org.apache.commons.codec.net.PercentCodec.decode(Ljava/lang/Object;)Ljava/lang/Object;,org.apache.commons.codec.net.PercentCodecTest#testSafeCharEncodeDecodeObject,u,spurious-spec,NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION
00340,org.apache.commons.codec.net.PercentCodec.encode([B)[B,org.apache.commons.codec.net.PercentCodec.decode([B)[B,org.apache.commons.codec.net.PercentCodecTest#testSafeCharEncodeDecodeObject,u,spurious-spec,NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION
00342,org.apache.commons.codec.net.PercentCodec.encode([B)[B,org.apache.commons.codec.net.PercentCodec.expectedDecodingBytes([B)I,org.apache.commons.codec.net.PercentCodecTest#testSafeCharEncodeDecodeObject,u,spurious-spec,NULL_REPLACEMENT_CAUSED_NULLPOINTEREXCEPTION
00345,org.apache.commons.codec.net.PercentCodec.expectedEncodingBytes([B)I,org.apache.commons.codec.net.PercentCodec.decode(Ljava/lang/Object;)Ljava/lang/Object;,org.apache.commons.codec.net.PercentCodecTest#testSafeCharEncodeDecodeObject,u,spurious-spec,
00346,org.apache.commons.codec.net.PercentCodec.expectedEncodingBytes([B)I,org.apache.commons.codec.net.PercentCodec.decode([B)[B,org.apache.commons.codec.net.PercentCodecTest#testSafeCharEncodeDecodeObject,u,spurious-spec,
00372,org.apache.commons.codec.net.QCodec.encode(Ljava/lang/String;)Ljava/lang/String;,org.apache.commons.codec.net.QCodec.decode(Ljava/lang/String;)Ljava/lang/String;,org.apache.commons.codec.net.QCodecTest#testBasicEncodeDecode,u,spurious-spec,ORDER_OF_ASSERTIONS;REPLACE_RETURN_WITH_UNEXPECTED_OUTPUT
00373,org.apache.commons.codec.net.QCodec.encode(Ljava/lang/String;)Ljava/lang/String;,org.apache.commons.codec.net.QCodec.decodeText(Ljava/lang/String;)Ljava/lang/String;,org.apache.commons.codec.net.QCodecTest#testBasicEncodeDecode,u,spurious-spec,ORDER_OF_ASSERTIONS;REPLACE_RETURN_WITH_UNEXPECTED_OUTPUT
00377,org.apache.commons.codec.net.QCodec.encode(Ljava/lang/String;)Ljava/lang/String;,org.apache.commons.codec.net.RFC1522Codec.doDecoding([B)[B,org.apache.commons.codec.net.QCodecTest#testBasicEncodeDecode,u,spurious-spec,ORDER_OF_ASSERTIONS;REPLACE_RETURN_WITH_UNEXPECTED_OUTPUT
00380,org.apache.commons.codec.net.QCodec.encode(Ljava/lang/String;Ljava/nio/charset/Charset;)Ljava/lang/String;,org.apache.commons.codec.net.QCodec.decode(Ljava/lang/String;)Ljava/lang/String;,org.apache.commons.codec.net.QCodecTest#testBasicEncodeDecode,u,spurious-spec,ORDER_OF_ASSERTIONS;REPLACE_RETURN_WITH_UNEXPECTED_OUTPUT
